"No.","Time","Source","Destination","Protocol","Length","Info"
"192","2.027543","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=98737 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"193","2.027879","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [PSH, ACK] Seq=100189 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"194","2.027892","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=101641 Win=1026 Len=0"
"195","2.035021","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=101641 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"196","2.035253","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=103093 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"197","2.035271","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=104545 Win=1026 Len=0"
"198","2.035486","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=104545 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"199","2.035966","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=105997 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"200","2.035966","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=107449 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"201","2.035983","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=108901 Win=1026 Len=0"
"202","2.036229","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=108901 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"203","2.036240","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=110353 Win=1026 Len=0"
"204","2.036518","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=110353 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"205","2.036518","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=111805 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"206","2.036534","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=113257 Win=1026 Len=0"
"207","2.036859","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=113257 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"208","2.037067","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=114709 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"209","2.037077","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=116161 Win=1026 Len=0"
"210","2.037277","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=116161 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"211","2.037484","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=117613 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"212","2.037492","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=119065 Win=1026 Len=0"
"213","2.037847","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=119065 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"214","2.038055","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=120517 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"215","2.038064","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=121969 Win=1026 Len=0"
"216","2.038263","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=121969 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"217","2.038497","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=123421 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"218","2.038505","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=124873 Win=1026 Len=0"
"219","2.039595","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=124873 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"220","2.039595","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [PSH, ACK] Seq=126325 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"221","2.039595","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=127777 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"222","2.039595","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=129229 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"223","2.039595","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=130681 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"224","2.039619","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=132133 Win=1026 Len=0"
"225","2.040590","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=132133 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
